year,week,start_wk,count,weeklyCountCum,weeklyPercentageCum,start_wk_date,wk_start_dayOfYear
2000,16,17/04/2000,578,910,19.956140350877195,2000-04-17T00:00:00Z,108
2000,17,24/04/2000,252,1162,25.48245614035088,2000-04-24T00:00:00Z,115
2000,18,01/05/2000,409,1571,34.45175438596491,2000-05-01T00:00:00Z,122
2000,19,08/05/2000,1782,3353,73.53070175438596,2000-05-08T00:00:00Z,129
2000,20,15/05/2000,397,3750,82.23684210526315,2000-05-15T00:00:00Z,136
2000,21,22/05/2000,795,4545,99.67105263157895,2000-05-22T00:00:00Z,143
2000,22,29/05/2000,9,4554,99.86842105263159,2000-05-29T00:00:00Z,150
2000,23,07/06/2000,5,4559,99.97807017543859,2000-06-07T00:00:00Z,159
2000,24,14/06/2000,1,4560,100,2000-06-14T00:00:00Z,166
2001,14,04/04/2001,38,38,0.38333501462725716,2001-04-04T00:00:00Z,94
